
1/100000,0,-10,0.751477
2/100000,0,-10,0.611874
3/100000,0,-10,0.539808
4/100000,0,-10,0.352534
5/100000,0,-10,0.325364
6/100000,0,-10,0.297294
7/100000,1,0,0.251969
8/100000,0,-10,0.177404
9/100000,0,-10,0.164554
10/100000,1,0,0.137385
11/100000,0,-10,0.126163
12/100000,0,-10,0.119395
13/100000,0,-10,0.102212
14/100000,0,-10,0.094809
15/100000,0,-10,0.087502
16/100000,0,-10,0.078366
17/100000,0,-10,0.072689
18/100000,0,-10,0.064774
19/100000,0,-10,0.057721
20/100000,0,-10,0.053540
21/100000,0,-10,0.048433
22/100000,1,0,0.044033
23/100000,0,-10,0.040844
24/100000,0,-10,0.037885
25/100000,0,-10,0.035141
26/100000,0,-10,0.032596
27/100000,0,-10,0.026674
28/100000,0,-10,0.024373
29/100000,0,-10,0.022607
30/100000,0,-10,0.020970
31/100000,0,-10,0.019451
32/100000,0,-10,0.018042
33/100000,0,-10,0.016735
34/100000,0,-10,0.015291
35/100000,0,-10,0.014184
1/10000,0,-10,0.646559
2/10000,0,-10,0.587823
3/10000,0,-10,0.478622
4/10000,0,-10,0.370655
5/10000,0,-10,0.249456
6/10000,0,-10,0.227934
7/10000,0,-10,0.206191
8/10000,1,0,0.179191
9/10000,0,-10,0.150357
10/10000,1,0,0.128718
11/10000,0,-10,0.115858
12/10000,0,-10,0.103761
13/10000,0,-10,0.096245
14/10000,0,-10,0.086196
15/10000,0,-10,0.078366
16/10000,0,-10,0.072689
17/10000,0,-10,0.064774
18/10000,0,-10,0.058011
19/10000,0,-10,0.053272
20/10000,0,-10,0.048921
21/10000,0,-10,0.044033
22/10000,0,-10,0.040844
23/10000,0,-10,0.035141
24/10000,0,-10,0.031315
25/10000,0,-10,0.028186
26/10000,0,-10,0.026144
27/10000,0,-10,0.024251
28/10000,0,-10,0.023065
29/10000,0,-10,0.021395
30/10000,0,-10,0.019845
31/10000,0,-10,0.018224
32/10000,0,-10,0.016321
33/10000,0,-10,0.015139
34/10000,0,-10,0.014042
35/10000,0,-10,0.013025
36/10000,0,-10,0.010138
37/10000,0,-10,0.009986
38/10000,0,-10,0.009986
39/10000,0,-10,0.009986
40/10000,0,-10,0.009986
41/10000,0,-10,0.009986
42/10000,0,-10,0.009986
43/10000,1,0,0.009986
44/10000,0,-10,0.009986
45/10000,0,-10,0.009986
46/10000,0,-10,0.009986
